uf50-0369 n logn infinity n 0.007724325000026511 0 1 -2 -3 -4 -5 6 7 -8 9 10 11 -12 13 14 -15 16 17 18 19 20 -21 22 -23 -24 -25 -26 -27 -28 -29 30 -31 32 -33 34 -35 -36 37 -38 -39 40 41 42 -43 -44 -45 -46 -47 48 -49 -50
uf50-0369 nlogn logn infinity n 0.04245740500005013 0 1 -2 -3 -4 -5 6 7 8 9 10 11 -12 13 -14 15 -16 -17 18 19 20 21 -22 -23 -24 -25 -26 27 28 -29 30 31 -32 33 34 -35 -36 -37 -38 -39 40 -41 42 -43 -44 -45 -46 47 48 49 -50
uf50-0369 nn logn infinity n 0.37391931700000214 20264 1 -2 3 4 5 6 7 8 9 10 11 -12 -13 -14 -15 -16 17 18 -19 -20 -21 -22 23 -24 -25 26 -27 -28 29 -30 31 -32 33 -34 -35 -36 -37 -38 39 40 41 42 -43 44 45 46 -47 48 49 -50
uf50-0369 nnn logn infinity n 20.851076784000043 21661 1 -2 3 4 -5 6 7 8 9 10 11 -12 -13 -14 -15 -16 17 18 -19 -20 21 -22 23 24 25 26 -27 -28 29 -30 31 32 33 -34 -35 -36 -37 -38 39 40 41 42 -43 44 45 46 -47 48 -49 -50
uf50-0405 n logn infinity n 0.00843033500001411 0 1 -2 -3 4 5 -6 -7 -8 9 10 -11 -12 13 -14 -15 16 -17 -18 19 -20 21 -22 -23 -24 -25 -26 -27 -28 -29 30 31 -32 -33 -34 -35 -36 -37 38 -39 -40 -41 42 -43 44 -45 -46 47 48 -49 -50
uf50-0405 nlogn logn infinity n 0.04587047300003633 0 1 2 3 -4 -5 -6 -7 -8 -9 10 -11 -12 13 14 -15 16 -17 -18 -19 -20 21 -22 -23 -24 -25 26 27 -28 -29 -30 31 -32 33 -34 35 -36 -37 38 39 -40 -41 -42 -43 44 -45 -46 47 48 -49 -50
uf50-0405 nn logn infinity n 0.39234575900002255 24901 1 2 3 -4 -5 -6 -7 -8 9 10 -11 12 13 14 15 16 -17 18 19 -20 -21 22 23 24 -25 26 27 28 -29 30 31 32 33 34 35 36 -37 -38 39 -40 -41 42 -43 44 -45 46 47 48 49 -50
uf50-0405 nnn logn infinity n 17.88070537499999 26014 1 2 3 -4 -5 -6 -7 -8 9 10 -11 12 13 14 15 16 -17 18 19 -20 21 22 23 24 -25 26 27 28 -29 30 31 32 33 34 35 36 37 -38 39 -40 -41 42 -43 44 -45 46 47 48 49 -50
uf50-0414 n logn infinity n 0.007286770999996861 0 1 2 -3 -4 -5 6 -7 8 9 -10 11 -12 -13 14 15 -16 17 18 -19 -20 21 22 -23 24 -25 -26 -27 28 -29 -30 -31 -32 33 34 35 36 37 38 39 -40 41 42 -43 -44 45 -46 47 48 -49 -50
uf50-0414 nlogn logn infinity n 0.03967328099997758 0 -1 -2 3 -4 -5 6 -7 8 9 -10 -11 -12 -13 14 -15 16 -17 -18 -19 -20 21 22 23 -24 25 -26 -27 -28 -29 30 31 -32 33 34 -35 36 -37 -38 39 40 41 -42 43 -44 -45 46 47 48 49 -50
uf50-0414 nn logn infinity n 0.3479392289999623 27926 -1 2 3 4 -5 -6 -7 8 9 10 -11 12 13 14 -15 -16 17 -18 -19 20 -21 -22 23 -24 25 26 27 -28 -29 30 31 32 33 34 35 -36 37 38 39 40 41 42 43 44 45 -46 -47 -48 49 50
uf50-0414 nnn logn infinity n 17.634479177999992 31225 -1 2 3 -4 -5 -6 -7 8 9 10 11 12 13 14 -15 16 17 18 19 20 21 22 23 -24 25 26 27 28 -29 30 31 32 33 34 35 -36 37 38 39 40 41 42 43 44 45 -46 -47 48 49 50
uf50-0430 n logn infinity n 0.00847426299998233 0 -1 -2 3 4 5 -6 7 -8 -9 -10 11 12 -13 14 -15 16 -17 18 19 -20 -21 22 -23 -24 25 -26 -27 28 -29 -30 31 -32 -33 34 -35 -36 37 -38 -39 -40 -41 -42 43 -44 45 -46 47 -48 -49 50
uf50-0430 nlogn logn infinity n 0.04779738899998165 0 1 -2 -3 -4 -5 -6 7 -8 -9 -10 -11 12 13 -14 -15 16 -17 18 -19 20 -21 22 -23 24 25 -26 -27 28 -29 -30 31 32 -33 34 -35 -36 -37 -38 -39 -40 -41 42 -43 -44 45 -46 47 -48 49 50
uf50-0430 nn logn infinity n 0.3935050320000073 21324 1 -2 -3 4 -5 6 -7 -8 9 10 -11 12 13 -14 15 -16 -17 18 -19 -20 -21 22 23 24 25 26 27 28 29 -30 -31 32 -33 34 35 -36 -37 -38 -39 -40 -41 42 43 44 -45 46 47 48 49 -50
uf50-0430 nnn logn infinity n 18.360614324999972 22644 1 -2 -3 4 -5 6 -7 -8 9 10 -11 12 13 14 15 -16 -17 18 -19 -20 21 22 23 24 25 26 27 28 29 -30 -31 32 -33 34 35 -36 -37 -38 -39 -40 -41 42 43 44 45 -46 47 48 49 -50
uf50-0434 n logn infinity n 0.007474717000036435 0 -1 -2 -3 4 -5 6 -7 8 9 -10 11 -12 -13 -14 -15 16 17 -18 19 -20 21 22 -23 -24 25 -26 27 28 29 -30 -31 32 -33 34 35 -36 37 38 39 40 41 -42 43 -44 45 -46 -47 -48 49 -50
uf50-0434 nlogn logn infinity n 0.04034597500003656 0 -1 -2 3 4 -5 -6 7 8 9 -10 11 -12 -13 14 -15 16 -17 -18 -19 -20 21 -22 23 -24 25 -26 27 -28 29 -30 31 32 -33 34 35 -36 37 38 39 40 41 -42 43 -44 -45 -46 -47 -48 49 -50
uf50-0434 nn logn infinity n 0.35550901200002727 16008 -1 -2 3 -4 -5 6 7 -8 9 -10 11 -12 13 -14 15 16 -17 -18 -19 20 21 -22 -23 -24 25 -26 -27 -28 29 30 31 32 -33 34 -35 -36 -37 -38 39 40 -41 -42 43 44 45 -46 -47 -48 49 -50
